time_key,product_key,promotion_key,store_key,dollar_sales,unit_sales,dollar_cost,customer_count
1,1,1,15,78.35,58,81.19,38
1,2,1,10,114.89,85,115.88,48
1,3,1,7,112.21,83,123.76,77
1,4,1,12,49.55,37,50.56,35
1,5,11,19,27.26,56,24.5,45
1,6,11,16,40.62,83,34.44,62
1,7,11,20,17.13,35,14.03,27
1,8,11,8,7.18,12,6.03,8
1,9,11,10,52.4,89,44.69,59
1,10,11,17,19.85,34,16.25,18
1,11,11,7,14.26,24,11.64,12
1,12,11,8,57.02,97,50.98,89
1,13,5,8,76.92,78,64.76,56
1,14,5,2,77.7,78,67.49,69
1,15,5,19,90.78,92,81.47,56
1,16,11,13,55.98,81,46.21,43
1,17,11,10,43.25,63,38.85,46
1,18,11,2,43.41,63,38.27,43
1,19,11,6,29.87,43,25.57,26
1,20,11,10,51.23,30,45.13,23
1,21,1,7,89.14,44,98.05,22
1,22,1,12,139.4,69,140.73,57
1,23,1,20,4.06,2,4.54,1
1,24,1,11,129.71,64,137.1,48
1,25,11,17,13.77,19,11.25,18
1,26,11,14,41.42,56,33.47,52
1,27,11,18,65,88,57.29,76
1,28,11,5,40.95,46,36.81,31
1,29,11,11,67.52,76,55.48,65
1,30,11,14,44.37,50,38.7,26
1,31,11,8,83.63,94,69.93,57
1,32,11,9,83.2,94,73.79,74
1,33,5,7,142.19,96,126.36,60
1,34,5,8,71.36,48,62.84,35
1,35,5,19,111.79,75,94.17,52
1,36,11,6,46.95,45,40.87,31
1,37,11,17,25.61,25,22.94,21
1,38,11,17,73.98,71,65.03,61
1,39,11,1,76.35,74,64.57,58
1,40,11,7,195.47,77,158.72,57
1,41,1,17,260.59,86,280.63,74
1,42,1,20,219.58,72,233.4,61
1,43,1,1,3.14,1,3.47,1
1,44,1,13,95.75,31,96.43,28
1,45,11,2,98.1,89,81.83,51
1,46,11,12,61.18,55,50.09,37
1,47,11,13,88.04,80,72.13,54
1,48,11,8,95.27,72,84.85,55
1,49,11,12,130.54,98,113.34,89
1,50,11,10,1.84,1,1.65,1
1,51,11,1,91.69,69,75.17,64
1,52,11,12,105.9,80,89.29,42
1,53,5,10,125.68,56,111.78,34
1,54,5,8,96.85,43,83.33,32
1,55,5,12,24.65,11,21.11,9
1,56,11,8,115.66,75,103.32,73
1,57,11,5,102.36,66,91.46,65
1,58,11,15,130.01,84,115.81,79
1,59,11,4,26.76,17,21.56,11
1,60,11,15,41.36,11,36.51,9
2,1,1,16,102.85,76,113.32,65
2,2,1,20,111.33,82,125.2,51
2,3,1,15,52.3,39,56.51,21
2,4,1,9,41.23,30,46.03,20
2,5,11,12,23.54,48,20.14,44
2,6,11,6,39.1,80,34.43,69
2,7,11,14,38.7,79,34.49,47
2,8,11,20,58.12,99,50.3,96
2,9,11,14,35.08,59,29.33,41
2,10,11,9,41.8,71,37.02,39
2,11,11,17,7.58,13,6.52,8
2,12,11,17,39.09,66,32.74,47
2,13,5,15,29.92,30,24.93,25
2,14,5,8,26.02,26,22.73,21
2,15,5,19,29.53,30,23.81,18
2,16,11,15,20.29,29,17.8,19
2,17,11,7,16.67,24,13.42,21
2,18,11,11,3.38,5,2.71,5
2,19,11,10,51.99,75,44.14,60
2,20,11,12,15.61,9,12.73,6
2,21,1,10,194.2,96,194.46,60
2,22,1,6,80.39,40,84.31,27
2,23,1,15,39.06,19,43.39,11
2,24,1,16,196.98,97,215.42,95
2,25,11,10,21.85,30,18.14,29
2,26,11,3,38.31,52,33.63,45
2,27,11,12,1.87,3,1.67,2
2,28,11,14,17.59,20,14.84,15
2,29,11,2,19.1,22,15.5,18
2,30,11,13,13.4,15,11.64,8
2,31,11,17,42.06,48,37.14,31
2,32,11,18,78.76,89,69.08,80
2,33,5,18,147.63,99,119.22,61
2,34,5,20,45.89,31,40.38,27
2,35,5,17,43.71,29,37.33,18
2,36,11,6,43.92,42,35.49,27
2,37,11,20,2.05,2,1.77,1
2,38,11,20,2.85,3,2.28,2
2,39,11,14,84.65,82,67.79,81
2,40,11,14,10.76,4,9.57,2
2,41,1,14,242.33,80,269.76,48
2,42,1,16,145.87,48,158.43,28
2,43,1,7,81.68,27,85.62,25
2,44,1,20,82.28,27,86.82,18
2,45,11,10,10.07,9,8.86,5
2,46,11,1,109.02,99,95.26,77
2,47,11,2,67.07,61,54.61,55
2,48,11,5,38.62,29,32.92,16
2,49,11,14,33.03,25,26.68,15
2,50,11,18,78.29,59,64.14,38
2,51,11,7,109.58,83,96.09,58
2,52,11,7,54.77,41,44.55,25
2,53,5,18,45.93,21,40.25,19
2,54,5,15,17.14,8,14.78,7
2,55,5,2,68.16,31,56.31,29
2,56,11,2,15.97,10,14.14,7
2,57,11,6,46.53,30,39.04,25
2,58,11,16,29.44,19,24.57,17
2,59,11,13,75.97,49,63.66,28
2,60,11,1,49.18,13,39.63,13
3,1,1,1,116.63,86,128.15,59
3,2,1,14,131.24,97,138.14,51
3,3,1,5,8.61,6,9.02,3
3,4,1,18,56.89,42,63.97,33
3,5,11,8,9.11,19,7.37,14
3,6,11,1,24.43,50,20.07,29
3,7,11,9,44.4,91,37.89,71
3,8,11,2,8.55,14,7.36,14
3,9,11,18,15.98,27,13.2,21
3,10,11,14,43.53,74,38.4,64
3,11,11,12,24.28,41,21.08,23
3,12,11,4,19.61,33,17.58,26
3,13,5,18,26.26,27,22.06,17
3,14,5,12,53.78,54,47.05,46
3,15,5,10,2.85,3,2.52,1
3,16,11,13,54.02,78,48.01,45
3,17,11,12,34.13,49,28.16,41
3,18,11,9,55.21,80,45.3,66
3,19,11,1,63.31,92,52.38,62
3,20,11,1,14.6,9,11.85,7
3,21,1,10,122.06,60,136.16,43
3,22,1,12,65.82,32,68.15,30
3,23,1,12,166.69,82,167.12,46
3,24,1,18,98.14,48,99.36,41
3,25,11,3,17.48,24,14.7,15
3,26,11,10,2.01,3,1.64,2
3,27,11,14,57.55,78,47.63,78
3,28,11,13,14.83,17,12.08,10
3,29,11,8,14.91,17,12.49,14
3,30,11,10,74.04,84,62.91,83
3,31,11,20,35.51,40,31.43,36
3,32,11,18,7.91,9,6.6,5
3,33,5,1,113.77,77,96.31,62
3,34,5,8,64.48,43,54.29,40
3,35,5,6,140.53,95,120.21,94
3,36,11,19,96.16,93,84.38,69
3,37,11,11,49.15,47,40.64,46
3,38,11,12,36.8,36,29.79,31
3,39,11,19,77.8,75,62.81,70
3,40,11,20,13.34,5,11.68,5
3,41,1,2,99.98,33,100.05,29
3,42,1,16,274.2,90,281.43,87
3,43,1,5,86.55,28,90.87,19
3,44,1,2,36.49,12,39.92,9
3,45,11,15,32.7,30,28.74,28
3,46,11,8,53.84,49,45.19,44
3,47,11,10,104.07,94,87.24,49
3,48,11,18,12.06,9,10.34,6
3,49,11,20,94.28,71,76.13,55
3,50,11,5,77.3,58,68.55,44
3,51,11,7,33.56,25,28.69,17
3,52,11,2,98.66,74,86.01,73
3,53,5,17,178.25,80,144.19,61
3,54,5,6,117.19,53,102.53,37
3,55,5,17,85.98,39,76.17,19
3,56,11,12,35.16,23,30.94,12
3,57,11,9,63.08,41,54.25,38
3,58,11,9,150.72,97,127.17,56
3,59,11,6,133.18,86,107.92,61
3,60,11,20,162.66,43,133.39,35
4,1,1,20,7.6,6,8.51,4
4,2,1,18,33.68,25,36.24,17
4,3,1,15,97.31,72,102.75,51
4,4,1,15,111.61,83,124.36,55
4,5,11,2,30.52,62,26.89,52
4,6,11,5,45.13,92,38.34,52
4,7,11,18,0.72,1,0.63,1
4,8,11,16,20.81,35,17.72,20
4,9,11,10,55.02,93,45.92,48
4,10,11,4,36.76,62,31.71,59
4,11,11,3,8.58,15,7.71,8
4,12,11,2,4.62,8,3.83,7
4,13,5,11,9.83,10,8.7,10
4,14,5,19,11.37,11,9.86,11
4,15,5,15,42.44,43,37.67,38
4,16,11,13,42.31,61,37.73,57
4,17,11,16,44.13,64,35.99,52
4,18,11,2,30.18,44,26.09,26
4,19,11,12,56.97,83,46.11,60
4,20,11,20,76.15,45,64.28,43
4,21,1,20,121.29,60,129.06,48
4,22,1,3,145.73,72,151.28,57
4,23,1,5,50.1,25,55.39,13
4,24,1,2,98.45,49,99.52,27
4,25,11,19,18.94,26,16.13,15
4,26,11,8,62.1,84,52.59,75
4,27,11,10,30.74,42,26.73,25
4,28,11,18,13.24,15,10.87,14
4,29,11,5,32.64,37,28.45,23
4,30,11,1,15.52,18,13.94,11
4,31,11,2,33.48,38,28.89,32
4,32,11,2,60.68,69,53.52,51
4,33,5,1,57.72,39,49.28,30
4,34,5,9,130.14,88,116.88,73
4,35,5,14,111.15,75,97,60
4,36,11,11,79.67,77,65.11,67
4,37,11,11,91.31,88,77.84,74
4,38,11,3,76.92,74,66.99,72
4,39,11,19,30.53,29,25.12,29
4,40,11,7,134.54,53,112.51,53
4,41,1,2,268.47,88,296.92,84
4,42,1,10,248.15,82,262.87,44
4,43,1,5,36.04,12,38.1,8
4,44,1,3,303.66,100,334.06,61
4,45,11,9,8.03,7,6.53,7
4,46,11,17,85.21,77,72.37,66
4,47,11,18,76.23,69,65.66,64
4,48,11,6,91.67,69,79.31,48
4,49,11,18,117.68,89,95.09,71
4,50,11,7,3.94,3,3.51,3
4,51,11,11,101.35,76,90.34,46
4,52,11,20,53.33,40,43.2,23
4,53,5,6,45.21,20,37.27,12
4,54,5,19,148.07,66,122.5,56
4,55,5,7,209.07,94,186.38,65
4,56,11,18,59.74,38,50.91,38
4,57,11,20,47.96,31,38.94,20
4,58,11,13,60.24,39,48.49,37
4,59,11,6,147.09,95,118.63,48
4,60,11,5,376.62,99,324.83,73
5,1,1,11,7.23,5,7.77,4
5,2,1,11,73.9,55,82.77,48
5,3,1,16,50.18,37,50.74,29
5,4,1,19,97.66,72,108.52,58
5,5,11,6,17.3,35,14.53,22
5,6,11,13,41.6,85,36.38,70
5,7,11,10,10.81,22,9.4,21
5,8,11,11,16.54,28,13.56,19
5,9,11,3,14.36,24,12.28,14
5,10,11,5,37.64,64,32.05,52
5,11,11,2,41.83,71,35.38,69
5,12,11,18,14.13,24,11.54,15
5,13,5,6,29.18,29,24.39,20
5,14,5,3,34.29,35,30.53,29
5,15,5,16,28.86,29,23.56,29
5,16,11,18,9.4,14,7.82,8
5,17,11,17,62.03,90,53,85
5,18,11,19,55.99,81,49.24,45
5,19,11,3,20.51,30,16.73,19
5,20,11,11,112.48,67,90.84,62
5,21,1,10,187.07,92,200.34,60
5,22,1,2,56.11,28,58.6,27
5,23,1,6,190.19,94,210.22,82
5,24,1,10,172.77,85,173.92,51
5,25,11,16,37.16,51,33.43,50
5,26,11,11,16.85,23,13.56,15
5,27,11,3,0.52,1,0.44,1
5,28,11,4,28.92,33,23.16,28
5,29,11,6,87.98,99,71.81,82
5,30,11,15,18.1,20,14.57,20
5,31,11,10,86.61,98,73.16,53
5,32,11,1,36.02,41,29.34,40
5,33,5,4,121.52,82,102.4,62
5,34,5,16,118.52,80,96.73,69
5,35,5,16,119.9,81,102.17,70
5,36,11,19,10.99,11,9.62,9
5,37,11,20,15.58,15,13.06,10
5,38,11,7,9.95,10,8.57,5
5,39,11,1,11.99,12,10.41,6
5,40,11,19,52.57,21,46.18,19
5,41,1,1,251.69,83,266.08,49
5,42,1,11,74.28,24,76.42,23
5,43,1,20,71.7,24,76.51,15
5,44,1,9,86.78,29,92.51,21
5,45,11,3,1.75,2,1.57,1
5,46,11,7,108.01,98,93.81,53
5,47,11,2,79.66,72,64.76,60
5,48,11,7,130.8,99,109.49,79
5,49,11,8,6.75,5,5.44,3
5,50,11,9,60.4,45,48.66,37
5,51,11,15,132.69,100,117.72,64
5,52,11,19,24.62,19,22.11,14
5,53,5,10,27.48,12,23.55,8
5,54,5,8,23.39,11,20.91,9
5,55,5,10,6.23,3,5.41,3
5,56,11,15,7.41,5,6.01,3
5,57,11,11,59.1,38,48.02,30
5,58,11,1,96.51,62,86.74,33
5,59,11,9,149.72,96,133.3,62
5,60,11,3,300.32,79,240.87,63
6,1,1,6,87.59,65,90.47,41
6,2,1,9,77.58,57,81.89,30
6,3,1,9,85.99,64,92.48,49
6,4,1,1,132.72,98,135.42,52
