time_key,date,day_of_week,day_number_in_month,day_number_overall,week_number_in_year,week_number_overall,Month,quarter,fiscal_period,year,holiday_flag
1,01/10/1994,Saturday,1,273,39,39,34638,4,4Q94,1994,N
2,02/10/1994,Sunday,2,274,40,40,34638,4,4Q94,1994,N
3,03/10/1994,Monday,3,275,40,40,34638,4,4Q94,1994,N
4,04/10/1994,Tuesday,4,276,40,40,34638,4,4Q94,1994,N
5,05/10/1994,Wednesday,5,277,40,40,34638,4,4Q94,1994,N
6,06/10/1994,Thursday,6,278,40,40,34638,4,4Q94,1994,N
7,07/10/1994,Friday,7,279,40,40,34638,4,4Q94,1994,N
8,08/10/1994,Saturday,8,280,40,40,34638,4,4Q94,1994,N
9,09/10/1994,Sunday,9,281,41,41,34638,4,4Q94,1994,N
10,10/10/1994,Monday,10,282,41,41,34638,4,4Q94,1994,N
11,11/10/1994,Tuesday,11,283,41,41,34638,4,4Q94,1994,Y
12,12/10/1994,Wednesday,12,284,41,41,34638,4,4Q94,1994,N
13,13/10/1994,Thursday,13,285,41,41,34638,4,4Q94,1994,N
14,14/10/1994,Friday,14,286,41,41,34638,4,4Q94,1994,N
15,15/10/1994,Saturday,15,287,41,41,34638,4,4Q94,1994,N
16,16/10/1994,Sunday,16,288,42,42,34638,4,4Q94,1994,N
17,17/10/1994,Monday,17,289,42,42,34638,4,4Q94,1994,N
18,18/10/1994,Tuesday,18,290,42,42,34638,4,4Q94,1994,N
19,19/10/1994,Wednesday,19,291,42,42,34638,4,4Q94,1994,N
20,20/10/1994,Thursday,20,292,42,42,34638,4,4Q94,1994,N
21,21/10/1994,Friday,21,293,42,42,34638,4,4Q94,1994,N
22,22/10/1994,Saturday,22,294,42,42,34638,4,4Q94,1994,N
23,23/10/1994,Sunday,23,295,43,43,34638,4,4Q94,1994,N
24,24/10/1994,Monday,24,296,43,43,34638,4,4Q94,1994,N
25,25/10/1994,Tuesday,25,297,43,43,34638,4,4Q94,1994,N
26,26/10/1994,Wednesday,26,298,43,43,34638,4,4Q94,1994,N
27,27/10/1994,Thursday,27,299,43,43,34638,4,4Q94,1994,N
28,28/10/1994,Friday,28,300,43,43,34638,4,4Q94,1994,N
29,29/10/1994,Saturday,29,301,43,43,34638,4,4Q94,1994,N
30,30/10/1994,Sunday,30,302,44,44,34638,4,4Q94,1994,N
31,31/10/1994,Monday,31,303,44,44,34638,4,4Q94,1994,Y
32,01/11/1994,Tuesday,1,304,44,44,34668,4,4Q94,1994,N
33,02/11/1994,Wednesday,2,305,44,44,34668,4,4Q94,1994,N
34,03/11/1994,Thursday,3,306,44,44,34668,4,4Q94,1994,N
35,04/11/1994,Friday,4,307,44,44,34668,4,4Q94,1994,N
36,05/11/1994,Saturday,5,308,44,44,34668,4,4Q94,1994,N
37,06/11/1994,Sunday,6,309,45,45,34668,4,4Q94,1994,N
38,07/11/1994,Monday,7,310,45,45,34668,4,4Q94,1994,N
39,08/11/1994,Tuesday,8,311,45,45,34668,4,4Q94,1994,N
40,09/11/1994,Wednesday,9,312,45,45,34668,4,4Q94,1994,N
41,10/11/1994,Thursday,10,313,45,45,34668,4,4Q94,1994,N
